,inf,e,s,i
2024-04-05,3.2749006053666747,0.4281330687830689,-0.5793134286103444,-1.118599999999999
2024-04-06,2.805869165413275,0.4592825396825395,-0.573937724016106,-1.118599999999999
2024-04-07,2.471520985800216,0.49043201058201014,-0.6209751392156876,-1.118599999999999
2024-04-08,2.607519448510743,0.5215814814814816,-0.784038178574238,-3.4479968419568587
2024-04-09,2.70171616423496,0.5527309523809514,-0.7855876463690472,-3.4679968419568583
2024-04-10,2.8094839415765374,0.5838804232804229,-0.7272015214705192,-3.4679968419568583
2024-04-11,2.8811490469595733,0.6150298941798935,-0.719048369502592,-3.4679968419568583
2024-04-12,2.954512039993137,0.646179365079365,-0.6406526775032884,-3.4679968419568583
2024-04-13,3.0111304587723486,0.6773288359788348,-0.3751526005989829,-3.4679968419568583
2024-04-14,3.0615402031723087,0.7084783068783063,-0.32027561619947037,-3.4679968419568583
2024-04-15,3.112556650987313,0.7396277777777769,-0.4087914793477744,-2.5499065533836367
2024-04-16,3.1506585302193386,0.7707772486772484,-0.33353161502844436,-2.479906553383638
2024-04-17,3.1780326177559464,0.801926719576719,-0.2830970531755595,-2.479906553383638
2024-04-18,3.212283029161285,0.7430761904761898,-0.3971627850345452,-2.479906553383638
2024-04-19,3.249694900066712,0.6842256613756597,-0.5968702107104831,-2.479906553383638
2024-04-20,3.263965328438433,0.6253751322751322,-0.6329322290301626,-2.479906553383638
2024-04-21,3.276200926492318,0.5665246031746021,-0.6823215149897235,-2.479906553383638
2024-04-22,3.2867165729839543,0.5076740740740728,-0.6540990658699746,-3.499469953775039
2024-04-23,3.2906411138405143,0.4488235449735436,-0.5150773720578772,-3.949469953775038
2024-04-24,3.303436119068973,0.38997301587301525,-0.3952887546829422,-3.949469953775038
2024-04-25,3.276235687393385,0.331122486772486,-0.32955854850794286,-3.949469953775038
2024-04-26,3.2782311424077224,0.2722719576719559,-0.2408288789269132,-3.949469953775038
2024-04-27,3.2798773321257872,0.21342142857142843,0.048921598702509846,-3.949469953775038
2024-04-28,3.2812116778293228,0.4212375661375658,0.09177791032879543,-3.949469953775038
2024-04-29,3.2594549309469625,0.6290537037037023,0.2689521742472205,-3.8600000000000003
2024-04-30,3.2431072636908858,0.8368698412698397,0.4627463248694964,-3.7
2024-05-01,2.791884567311861,0.8046859788359786,0.4837604428287907,-3.7
2024-05-02,2.7825969280017246,0.7725021164021157,0.6323559135729231,-3.7
2024-05-03,2.7023985426891883,0.7403182539682529,0.7849661939982328,-3.7
2024-05-04,2.666335127931503,0.674801058201056,1.004474131596282,-3.7
2024-05-05,2.647925701395757,0.6092838624338617,0.9524764071574708,-3.7
2024-05-06,2.6543167050214507,0.5437666666666647,1.0656105538452962,-3.7
2024-05-07,2.629318164520764,0.5679055555555532,1.0965208552621646,-2.95
2024-05-08,2.659339767918685,0.5420444444444446,1.228225617820993,-2.95
2024-05-09,2.6710945508009534,0.5745166666666659,1.337557962730273,-2.95
2024-05-10,2.665402249185421,0.6069888888888881,1.3450949520663458,-2.95
2024-05-11,2.662984169115927,0.6394611111111095,1.3689272424341337,-2.95
2024-05-12,2.6620653733648614,0.6719333333333308,1.2458460059952283,-2.95
2024-05-13,2.6790785036500058,0.7044055555555548,1.0397773298827748,-1.2400000000000002
2024-05-14,2.7036034272845577,0.7368777777777762,0.9306505266197453,-0.620000000000001
2024-05-15,2.7342627560717188,0.7560166666666648,0.9768327160884257,-0.620000000000001
2024-05-16,2.7651562021011418,0.7751555555555552,0.8410961750839184,-0.620000000000001
2024-05-17,2.801295449473028,0.7942944444444437,0.8941439266701134,-0.620000000000001
2024-05-18,2.842582018259108,0.8134333333333323,0.9831230370893228,-0.620000000000001
2024-05-19,2.880360629765873,0.8325722222222209,0.9965622985749175,-0.620000000000001
2024-05-20,2.9395703803252475,0.8517111111111095,1.159625337933467,-3.3100000000000005
2024-05-21,2.988543254973208,0.8708499999999999,1.2121504515729995,-3.33
2024-05-22,3.0309482673081054,0.8899888888888885,1.2936819712522742,-3.33
2024-05-23,3.0655210751350865,0.9429222222222213,1.3145874891187557,-3.33
2024-05-24,3.111467370501378,0.9445055555555548,1.3629932654877797,-3.33
2024-05-25,3.1596403777778064,1.001088888888888,1.4239280988145093,-3.33
2024-05-26,3.20409827033416,1.0576722222222212,1.407987641441319,-3.33
2024-05-27,3.250203918675349,1.1142555555555544,1.232773269822877,-0.4500000000000002
2024-05-28,3.3020669615566947,1.1708388888888885,1.3404366868352535,-0.4500000000000002
2024-05-29,3.353192686141074,1.2274222222222217,1.3645825599710386,-0.4500000000000002
2024-05-30,3.399636190041568,1.284005555555555,1.348276256035184,-0.4500000000000002
2024-05-31,3.440026317657873,1.3405888888888882,1.404419309899069,-0.4300000000000006
2024-06-01,5.033403801243142,1.3438388888888886,1.3562823187597575,-0.5700000000000003
2024-06-02,5.036221360691767,1.3470888888888881,1.3132415466817073,-0.5700000000000003
2024-06-03,5.065185740862233,1.3503388888888868,1.0253725656602675,-0.5700000000000003
2024-06-04,5.068311959367848,1.3535888888888863,1.0023242322124732,-0.5999999999999996
2024-06-05,5.192843386763212,1.3568388888888867,0.8733989532790742,-0.5999999999999996
2024-06-06,5.2939858111912494,1.3600888888888871,0.8169540550395753,-0.5999999999999996
2024-06-07,5.300319313966874,1.3633388888888867,0.7093710438651478,-0.5999999999999996
2024-06-08,5.303926084464163,1.366588888888887,0.5858520133020911,-0.5999999999999996
2024-06-09,5.306466559094785,1.3698388888888866,0.4737874346336134,-0.5999999999999996
2024-06-10,5.281954053364513,1.373088888888887,0.49511106285742407,-0.5999999999999996
2024-06-11,5.235080014008267,1.3763388888888874,0.5927572525587774,3.74
2024-06-12,5.175905686578663,1.379588888888887,0.6424265231326216,3.74
2024-06-13,5.103073490599976,1.3828388888888874,0.6563025606164986,3.74
2024-06-14,5.02688513153906,1.386088888888887,0.5892742439570945,3.74
2024-06-15,4.94695982542468,1.3859740740740731,0.5901701947228009,3.74
2024-06-16,4.877016835880467,1.3858592592592576,0.6046174008198155,3.74
2024-06-17,4.808286321893562,1.385744444444443,0.5983457454598713,2.0699999999999994
2024-06-18,4.752924708780933,1.4162055555555542,0.535959278984636,-1.3500000000000005
2024-06-19,4.668859172955751,1.422527777777776,0.3572171012262262,-1.3500000000000005
2024-06-20,4.604976260819159,1.4433333333333316,0.2745452805724155,-1.3500000000000005
2024-06-21,4.545672605147942,1.4496555555555544,0.2193547134049062,-1.3500000000000005
2024-06-22,4.491369552525913,1.4318388888888878,0.1679753829561325,-1.3500000000000005
2024-06-23,4.441509216556354,1.4333333333333318,0.14528339356287917,-1.3500000000000005
2024-06-24,4.370852414479625,1.4203444444444422,0.11125966323518242,-0.5
2024-06-25,4.303779620730439,1.4508055555555535,0.209515597207642,-0.5
2024-06-26,4.242465261900363,1.5174749999999992,0.12288835754841208,-0.5
2024-06-27,4.176903054925565,1.6388592592592577,0.151110806668161,-0.5
2024-06-28,4.123625230152703,1.6339166666666651,0.09090291521269603,-0.5
2024-06-29,4.0742981235517295,1.63541111111111,-0.09599241451364113,-0.5
2024-06-30,4.028309621103146,1.5934555555555558,-0.044804639149390875,-1.3900000000000006
2024-07-01,2.3377007134558414,1.5918317204301067,-0.1335037649543166,0.019999999999999574
2024-07-02,2.5143682301376646,1.6095189964157681,-0.17722089202216296,0.019999999999999574
2024-07-03,2.5628178768935643,1.627206272401434,-0.1437815659439147,0.019999999999999574
2024-07-04,2.559948758503198,1.746276881720429,-0.0972868901504818,0.019999999999999574
2024-07-05,2.707005246257753,2.171911379928315,-0.07215900782017912,0.019999999999999574
2024-07-06,2.7674893115755594,2.1823569892473103,-0.08022256471153595,0.019999999999999574
2024-07-07,2.809593558087428,2.2048720430107513,-0.07612186697618782,0.019999999999999574
2024-07-08,2.8421160203377958,2.145314874551972,-0.04951484423703073,0.019999999999999574
2024-07-09,3.013017354428516,2.1581743727598557,-0.05151037094246689,0.019999999999999574
2024-07-10,3.1593296555581167,2.1517227598566304,-0.10481944150199314,0.019999999999999574
2024-07-11,3.313126262862257,2.1742378136200697,-0.16718756980366026,0.019999999999999574
2024-07-12,3.426763675451456,2.2933084229390683,0.08328666613411219,0.019999999999999574
2024-07-13,3.544196565951729,2.5330734767025067,0.06878346311424115,0.019999999999999574
2024-07-14,3.6496170936658183,2.4445496415770576,0.21107164409297577,0.019999999999999574
2024-07-15,3.844692655072136,2.39947580645161,0.2683004992524668,-3.700000000000001
2024-07-16,3.922252034833152,2.3592297491039425,0.11509291831668637,-4.050000000000001
2024-07-17,3.9860472553563007,2.290017025089605,0.08373464151696484,-4.050000000000001
2024-07-18,4.025214734269482,2.377707078853044,0.16963981559199065,-4.050000000000001
2024-07-19,4.019034124061816,2.426774910394263,0.18375104015186486,-4.050000000000001
2024-07-20,4.020862772679724,2.410667741935481,0.12217478752695773,-4.050000000000001
2024-07-21,4.02193227681937,2.3704216845878108,0.12217478752695823,-4.050000000000001
2024-07-22,3.9867311879029006,2.4025922939068103,0.1759059887357114,-0.33999999999999986
2024-07-23,3.9633656026876554,2.4009684587813593,0.21496944212050603,-0.33999999999999986
2024-07-24,3.960356750968696,2.4669335125448013,0.22547446484841274,-0.33999999999999986
2024-07-25,3.950898672329808,2.6246263440860194,0.11023279760943756,-0.33999999999999986
2024-07-26,3.944451581133012,3.0237080645161276,0.10239322840950807,-0.33999999999999986
2024-07-27,3.9450183427643255,3.178987007168458,-0.060669810949042315,-0.33999999999999986
2024-07-28,3.9464806141589617,3.334265949820786,0.02817863998350095,-0.33999999999999986
2024-07-29,3.951778555157856,3.385747670250894,0.16406450611562626,-1.6100000000000003
2024-07-30,3.951316472607647,2.8337571684587806,0.16053669997565734,-1.2600000000000007
2024-07-31,3.9607714566589727,4.734277777777775,0.2713359446680053,-1.2600000000000007
2024-08-01,3.800554606265168,5.495776143790842,0.242006732837678,-4.130000000000001
2024-08-02,3.72486597875706,5.251487472766881,0.314871965110484,-4.130000000000001
2024-08-03,3.5999998357444665,5.232495098039212,0.3278012238525229,-4.130000000000001
2024-08-04,3.527490383572961,5.189363834422656,0.3332476614019481,-4.130000000000001
